user_id,session_id,timestamp,action,product_id,product_slug,product_name,brand_name,category_name,price_amount,keyword,order_id,payment_status,shipping_status
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:00:00+00:00,search,,,,,accessories,,ban phim co khong day,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:05:00+00:00,view_category,,,,,accessories,,ban phim co khong day,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:09:00+00:00,product_view,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,399000,ban phim co khong day,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:12:00+00:00,product_click,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,399000,ban phim co khong day,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:15:00+00:00,product_view,91308ee2-9a4d-55ae-bd4e-197d2451848f,balo-commute-flex,Balo Commute Flex,carry-all,accessories,899000,ban phim co khong day,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:18:00+00:00,product_click,91308ee2-9a4d-55ae-bd4e-197d2451848f,balo-commute-flex,Balo Commute Flex,carry-all,accessories,899000,ban phim co khong day,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:21:00+00:00,chat_query,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,399000,goi y ban phim co khong day,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:23:00+00:00,add_to_wishlist,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,399000,,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:25:00+00:00,add_to_cart,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,399000,,,unpaid,pending
d2ce9bf4-c176-5741-abf0-e971f2a841b1,sess-001-01,2026-04-01T09:28:00+00:00,checkout_started,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,399000,,ORD-001-01,pending,pending
