user_id,role,age_group,gender,timestamp,event_type,product_id,product_slug,product_name,brand_name,category,search_query,cart_size,price,order_id,payment_status,shipping_status,session_id
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:00:00+00:00,search,,,,,accessories,ban phim co khong day,0,,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:05:00+00:00,view_category,,,,,accessories,ban phim co khong day,0,,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:09:00+00:00,product_view,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,ban phim co khong day,0,399000,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:12:00+00:00,product_click,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,ban phim co khong day,0,399000,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:15:00+00:00,product_view,91308ee2-9a4d-55ae-bd4e-197d2451848f,balo-commute-flex,Balo Commute Flex,carry-all,accessories,ban phim co khong day,0,899000,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:18:00+00:00,product_click,91308ee2-9a4d-55ae-bd4e-197d2451848f,balo-commute-flex,Balo Commute Flex,carry-all,accessories,ban phim co khong day,0,899000,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:21:00+00:00,chat_query,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,goi y ban phim co khong day,0,399000,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:23:00+00:00,add_to_wishlist,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,,0,399000,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:25:00+00:00,add_to_cart,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,,1,399000,,unpaid,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:28:00+00:00,checkout_started,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,,1,399000,ORD-001-01,pending,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:32:00+00:00,order_created,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,,1,399000,ORD-001-01,pending,pending,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:36:00+00:00,payment_success,b59aab06-e29e-5cec-a093-12d0efa4cce6,that-lung-leather-line,That lung Leather Line,carry-all,accessories,,1,399000,ORD-001-01,paid,preparing,sess-001-01
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:42:00+00:00,search,,,,,fashion,giay chay bo,0,,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:47:00+00:00,view_category,,,,,fashion,giay chay bo,0,,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:51:00+00:00,product_view,b1b1dad8-61e8-5cc7-9068-82711e48c3de,ao-thun-essential-cotton,Ao thun Essential Cotton,urban-vogue,fashion,giay chay bo,0,249000,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:54:00+00:00,product_click,b1b1dad8-61e8-5cc7-9068-82711e48c3de,ao-thun-essential-cotton,Ao thun Essential Cotton,urban-vogue,fashion,giay chay bo,0,249000,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T09:57:00+00:00,product_view,534cfdd3-727a-5750-bd97-b0cea6109b20,dam-midi-softline,Dam midi SoftLine,urban-vogue,fashion,giay chay bo,0,899000,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:00:00+00:00,product_click,534cfdd3-727a-5750-bd97-b0cea6109b20,dam-midi-softline,Dam midi SoftLine,urban-vogue,fashion,giay chay bo,0,899000,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:03:00+00:00,add_to_wishlist,b1b1dad8-61e8-5cc7-9068-82711e48c3de,ao-thun-essential-cotton,Ao thun Essential Cotton,urban-vogue,fashion,,0,249000,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:05:00+00:00,add_to_cart,b1b1dad8-61e8-5cc7-9068-82711e48c3de,ao-thun-essential-cotton,Ao thun Essential Cotton,urban-vogue,fashion,,1,249000,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:08:00+00:00,remove_from_cart,b1b1dad8-61e8-5cc7-9068-82711e48c3de,ao-thun-essential-cotton,Ao thun Essential Cotton,urban-vogue,fashion,,0,249000,,unpaid,pending,sess-001-02
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:10:00+00:00,search,,,,,accessories,dong ho thong minh,0,,,unpaid,pending,sess-001-03
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:15:00+00:00,view_category,,,,,accessories,dong ho thong minh,0,,,unpaid,pending,sess-001-03
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:19:00+00:00,product_view,91308ee2-9a4d-55ae-bd4e-197d2451848f,balo-commute-flex,Balo Commute Flex,carry-all,accessories,dong ho thong minh,0,899000,,unpaid,pending,sess-001-03
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:22:00+00:00,product_click,91308ee2-9a4d-55ae-bd4e-197d2451848f,balo-commute-flex,Balo Commute Flex,carry-all,accessories,dong ho thong minh,0,899000,,unpaid,pending,sess-001-03
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:25:00+00:00,product_view,203be474-75e3-5eb3-92f6-a8705238e018,op-lung-magsafe-clear,Op lung MagSafe Clear,carry-all,accessories,dong ho thong minh,0,249000,,unpaid,pending,sess-001-03
d2ce9bf4-c176-5741-abf0-e971f2a841b1,admin,18-24,female,2026-04-01T10:28:00+00:00,product_click,203be474-75e3-5eb3-92f6-a8705238e018,op-lung-magsafe-clear,Op lung MagSafe Clear,carry-all,accessories,dong ho thong minh,0,249000,,unpaid,pending,sess-001-03
